Proffesion;Sex;Region;2005;2007;2009;2011
;;Новгородская область;11,85;15,534;18,642;26,336.7500
;;Новосибирская область;10,208;14,145;20,054;27,770.7800
;;Омская область;8,875;13,626;15,807;18,834.4400
;;Оренбургская область;6,635;13,961;13,032;21,890.5300
;;Орловская область;8,27;14,243;14,874;17,745.9900
;;Пензенская область;7,534;11,505;15,031;22,344.0600
;;Пермский край;7,716;11,844;15,537;19,864.0900
;;Приволжский федеральный округ;7,702;12,722;15,828;23,770.1800
;;Приморский край;14,807;20,332;26,562;35,213.8200
;;Псковская область;5,592;13,07;14,072;21,728.6100
;;Республика Адыгея;3,851;7,673;12,393;12,332.5700
;;Республика Алтай;9,119;11,727;15,784;16,223.8100
;;Республика Башкортостан;9,194;13,453;18,42;24,587.7900
;;Республика Бурятия;6,324;15,484;26,3;30,002.4700
;;Республика Дагестан;3,7;5,869;13,536;15,078.5900
;;Республика Ингушетия;;;10,138;9,1
;;Республика Калмыкия;10,058;9,407;15,09;15,497.1200
;;Республика Карелия;13,04;18,901;20,94;29,539.4500
;;Республика Коми;15,363;24,602;28,577;37,477.6100
;;Республика Марий Эл;10,348;10,089;11,453;13,969.0900
;;Республика Мордовия;6,975;8,21;9,084;13,291.2300
;;Республика Саха (Якутия);16,588;27,587;35,422;49,255.4600
;;Республика Северная Осетия - Алания;4,814;10,164;11,847;16,791.3300
;;Республика Татарстан;7,399;10,376;14,926;21,300.3900
;;Республика Тыва;5,647;13,309;12,979;17,554.4000
;;Республика Хакасия;7,985;12,762;19,247;16,139.6600
;;Российская Федерация;11,679;17,51;23,397;31,232.3500
;;Ростовская область;7,884;13,681;15,887;24,042.1300
;;Рязанская область;6,298;11,278;20,4;23,506.7600
;;Самарская область;8,193;13,564;18,365;35,697.0800
;;Саратовская область;5,96;10,69;15,406;22,593.8800
;;Сахалинская область;13,748;23,555;28,88;41,991
;;Свердловская область;13,9;20,444;21,665;29,992.4900
;;Северо-Западный федеральный округ;13,236;20,486;29,148;34,730.0100
;;Северо-Кавказский федеральный округ;5,889;9,496;14,194;17,466.2600
;;Сибирский федеральный округ;10,624;17,183;23,037;30,296.9800
;;Смоленская область;7,88;9,866;12,84;15,744.8800
;;Ставропольский край;6,526;10,248;15,559;18,307.8000
;;Тамбовская область;4,517;6,205;9,931;17,147.3000
;;Тверская область;8,547;12,789;19,554;22,524.4200
;;Томская область;10,418;22,106;17,692;30,482.6100
;;Тульская область;6,649;12,813;15,186;18,423.8100
;;Тюменская область;20,528;22,007;30,758;40,441.5800
;;Тюменская область (без АО);;;;30,26
;;Тюменская область (частично);;;20,756.5600;
;;Удмуртская Республика;5,598;11,607;16,152;17,782.4800
;;Ульяновская область;4,572;12,19;11,735;13,099.6700
;;Уральский федеральный округ;15,776;19,502;25,206;34,901.1700
;;Хабаровский край;14,763;20,216;32,047;32,917.1900
;;Ханты-Мансийский автономный округ-Югра;22,664;23,89;32,523;40,112.5400
;;Центральный федеральный округ;11,842;17,258;23,302;32,649.6300
;;Челябинская область;8,211;14,527;17,472;22,745.5500
;;Чеченская Республика;;;14,793;18,2
;;Чувашская Республика;7,924;13,69;21,524;15,664.5700
;;Чукотский автономный округ;33,897;39,808;63,423;69,185.9600
;;Южный федеральный  округ (с 2010 года);;;17,423;23,560.1500
;;Южный федеральный округ (по 2009 год);9,555;14,128;16,903.5600;
;;Ямало-Ненецкий автономный округ;28,893;26,284;39,623;55,251.7400
;;Ярославская область;8,968;13,299;16,278;20,915.9100
;женщины;Алтайский край;8,054;11,384;16,332;22,609.3100
;;Амурская область;7,668;19,746;29,569;35,400.1400
;;Архангельская область;10,394;15,581;19,624;26,641.6600
;;Архангельская область (без АО);;;;24,612
;;Астраханская область;7,14;11,303;12,58;23,185.6900
;;Белгородская область;7,008;11,249;14,938;21,211.6200
;;Брянская область;7,856;9,879;15,124;24,036.4400
;;Владимирская область;9,6;11,815;14,708;17,873.1300
;;Волгоградская область;5,076;8,89;10,808;15,609.7400
;;Вологодская область;9,962;13,491;17,336;26,998.2900
;;Воронежская область;6,96;8,592;10,991;12,491.2800
;;г.Москва;16,653;23,7;28,992;37,499.8400
;;г.Санкт-Петербург;10,437;17,688;28,526;30,748.3600
;;Дальневосточный федеральный округ;12,689;19,324;25,61;32,268.7900
;;Еврейская автономная область;9,47;13,478;20,488;26,157.3800
;;Забайкальский край;10,016;17,447;18,565;24,879.3600
;;Ивановская область;5,366;6,333;13,183;16,551.9600
;;Иркутская область;10,115;18,113;24,696;31,439.6200
;;Кабардино-Балкарская Республика;5,965;7,53;12,375;14,729.4100
;;Калининградская область;9,735;13,584;16,757;19,876.6700
;;Калужская область;9,198;13,485;14,688;29,031.1900
;;Камчатский край;13,458;19,542;27,686;49,507.4400
;;Карачаево-Черкесская Республика;5,306;6,38;7,531;16,821.5100
;;Кемеровская область;10,84;14,761;18,119;24,848.2700
;;Кировская область;7,088;12,508;16,699;20,150.2400
;;Костромская область;7,029;9,912;11,321;14,196.1700
;;Краснодарский край;10,067;14,206;17,747;22,227.3900
;;Красноярский край;12,613;21,405;24,615;34,062.4500
;;Курганская область;3,212;7,191;13,44;20,166.9700
;;Курская область;5,685;8,145;8,811;18,593.2800
;;Ленинградская область;8,79;16,331;20,481;30,017.1300
;;Липецкая область;6,369;8,917;10,788;15,037.2500
;;Магаданская область;14,234;20,03;25,04;36,655.7700
;;Московская область;9,29;18,556;28,478;36,899.8300
;;Мурманская область;12,997;15,73;22,238;27,864.1600
;;Ненецкий авт.округ;21,235;11;45,261;72,305.7100
;;Нижегородская область;9,364;15,396;14,45;22,959.7500
;;Новгородская область;12,509;14,064;14,286;22,687.4300
;;Новосибирская область;8,808;11,988;17,805;24,727.7000
