Proffesion;Sex;Region;2005;2007;2009;2011
;;Республика Хакасия;5,16;7,739;8,458;11,835.8100
;;Российская Федерация;5,151;8,35;11,356;14,424.3700
;;Ростовская область;3,092;6,672;9,533;10,448.2500
;;Рязанская область;3,995;6,416;6,211;11,194.8600
;;Самарская область;4,609;6,828;10,217;12,469.1700
;;Саратовская область;3,05;5,657;9,064;10,772.4800
;;Сахалинская область;7,706;14,23;21,781;26,048.6100
;;Свердловская область;4,872;9,328;11,159;15,487.9400
;;Северо-Западный федеральный округ;6,379;9,696;12,914;16,694.0100
;;Северо-Кавказский федеральный округ;2,984;4,955;7,503;10,137.6600
;;Сибирский федеральный округ;5,352;8,014;10,399;13,818.0200
;;Смоленская область;4,274;5,698;8,425;8,544.2300
;;Ставропольский край;2,728;6,204;8,352;11,470.5700
;;Тамбовская область;3,455;5,423;7,17;9,832.4900
;;Тверская область;3,697;6,568;9,78;12,025.5000
;;Томская область;4,648;8,499;10,288;13,655.3000
;;Тульская область;4,313;5,976;9,034;11,511.3000
;;Тюменская область;8,964;15,253;20,814;30,823.7400
;;Тюменская область (без АО);;;;18,546.1800
;;Удмуртская Республика;3,709;6,153;7,579;10,238.5700
;;Ульяновская область;3,444;5,263;7,883;9,727.9700
;;Уральский федеральный округ;6,009;10,5;12,945;18,360.9300
;;Хабаровский край;7,452;9,614;13,606;19,582.1600
;;Ханты-Мансийский автономный округ-Югра;10,873;15,464;22,186;35,159.8100
;;Центральный федеральный округ;5,829;10,07;14,717;16,986.5000
;;Челябинская область;4,736;7,274;8,386;11,812.3300
;;Чеченская Республика;;;7,853;11,614.9600
;;Чувашская Республика;3,031;5,888;7,782;10,980.1500
;;Чукотский автономный округ;11,62;19,436;21,911;26,715.9600
;;Южный федеральный  округ (с 2010 года);;;;10,600.6500
;;Южный федеральный округ (по 2009 год);3,783;6,114;9,252;
;;Ямало-Ненецкий автономный округ;8,601;19,44;25,951;35,132.3600
;;Ярославская область;4,381;6,748;9,476;13,549.5300
;мужчины;Алтайский край;3,77;5,93;7,762;9,399.5900
;;Амурская область;5,607;8,579;11,158;19,347.1800
;;Архангельская область;7,185;8,85;12,067;16,557.1400
;;Архангельская область (без АО);;;;14,933.1500
;;Астраханская область;4,542;6,904;9,407;10,264.7600
;;Белгородская область;4,462;6,525;8,718;12,320.3100
;;Брянская область;2,986;6,355;6,921;8,036.1500
;;Владимирская область;4,134;6,628;8,633;11,964.6000
;;Волгоградская область;4,975;6,298;9,601;11,891.0800
;;Вологодская область;5,248;7,609;8,64;11,801.3700
;;Воронежская область;5,555;6,962;11,194;12,773.6500
;;г.Москва;9,131;19,506;33,588;32,800.5300
;;г.Санкт-Петербург;6,675;10,391;15,807;18,497.4700
;;Дальневосточный федеральный округ;6,831;10,828;15,11;19,851.6800
;;Еврейская автономная область;4,815;7,459;9,858;12,458.8900
;;Забайкальский край;12,9;9,189;8,76;11,565.7600
;;Ивановская область;2,572;7,863;7,118;7,500.9200
;;Иркутская область;6,24;8,478;11,6;15,043.1100
;;Кабардино-Балкарская Республика;3,376;5,7;9,082;9,304.4500
;;Калининградская область;4,829;11,156;13,451;14,083.9400
;;Калужская область;4,201;6,796;18,897;17,537.1000
;;Камчатский край;10,102;17,668;24,469;34,966.6800
;;Карачаево-Черкесская Республика;3,828;4,897;7,994;8,158.8400
;;Кемеровская область;4,725;8,023;11,072;15,366.8200
;;Кировская область;3,736;4,523;9,814;9,438.4300
;;Костромская область;2,837;4,444;7,869;8,561.9400
;;Краснодарский край;4,362;6,549;9,933;10,420.4700
;;Красноярский край;6,583;9,136;10,598;14,291.6600
;;Курганская область;4,086;7,345;10,475;12,244.7800
;;Курская область;3,404;5,507;6,205;14,990.7900
;;Ленинградская область;5,123;8,418;12,101;14,734.8500
;;Липецкая область;3,632;5,728;7,576;10,396.9500
;;Магаданская область;5,475;18,143;18,444;32,906.4700
;;Московская область;7,325;13,222;13,888;19,060.3200
;;Мурманская область;9,631;10,529;15,31;19,236.8200
;;Ненецкий авт.округ;14,434;13,283;24,78;35,430.6300
;;Нижегородская область;3,561;6,02;8,667;10,466
;;Новгородская область;5,202;8,85;10,854;13,492.4800
;;Новосибирская область;4,697;8,164;11,538;13,371.8800
;;Омская область;4,517;6,739;9,73;11,604.9300
;;Оренбургская область;4,466;3,798;8,822;10,789.1700
;;Орловская область;2,478;6,255;7,547;11,187.4800
;;Пензенская область;3,775;5,589;8,343;9,703.5600
;;Пермский край;5,629;8,122;8,452;10,249.0900
;;Приволжский федеральный округ;4,17;6,264;8,829;11,231.1700
;;Приморский край;4,632;8,519;11,77;14,863.6900
;;Псковская область;3,763;6,094;9,46;13,551.9800
;;Республика Адыгея;3,028;5,617;8,537;11,422.1100
;;Республика Алтай;4,971;5,961;7,086;9,544.9400
;;Республика Башкортостан;4,465;7,723;9,648;12,870.9800
;;Республика Бурятия;4,779;8,848;10,276;15,507.1600
;;Республика Дагестан;3,056;3,994;6,54;8,548.3400
;;Республика Ингушетия;3,34;5,403;8,187;12,754.7000
;;Республика Калмыкия;3,026;5,331;7,286;8,891.8400
;;Республика Карелия;5,198;11,25;7,838;15,758.0400
;;Республика Коми;9,258;11,221;124,014;18,594.0700
;;Республика Марий Эл;4,004;5,2;9,393;10,300.4400
;;Республика Мордовия;2,693;5,068;7,471;8,578.7100
;;Республика Саха (Якутия);7,843;10,848;15,3;19,044.5500
;;Республика Северная Осетия - Алания;3,306;4,823;7,61;10,406.6600
;;Республика Татарстан;4,093;5,964;7,589;10,854.2000
;;Республика Тыва;5,144;6,049;9,265;10,353.4900
;;Республика Хакасия;5,546;6,894;9,882;13,075.2800
;;Российская Федерация;5,063;7,614;10,767;13,625.3200
;;Ростовская область;2,65;5,846;10,678;11,859.7000
;;Рязанская область;6,074;6,631;5,406;11,844.8100
;;Самарская область;5,509;6,379;10,533;13,472.3100
;;Саратовская область;2,659;5,253;9,59;10,788.4400
;;Сахалинская область;7,539;14,128;21,719;25,305.1200
;;Свердловская область;4,048;8,981;10,475;12,943.4000
;;Северо-Западный федеральный округ;6,553;9,658;12,871;16,178.3500
;;Северо-Кавказский федеральный округ;3,02;4,457;7,458;10,306.5100
;;Сибирский федеральный округ;5,688;7,753;10,176;12,847.5000
;;Смоленская область;3,427;5,994;8,372;8,216.5200
;;Ставропольский край;2,426;5,586;8,538;13,795.3700
;;Тамбовская область;2,991;4,574;6,865;10,427.6200
;;Тверская область;3,51;7,734;11,59;11,237.5900
;;Томская область;4,834;8,378;10,916;11,984.5300
;;Тульская область;4,114;5,651;9,736;11,141.3200
;;Тюменская область;9,901;13,27;21,51;28,472.6500
;;Тюменская область (без АО);;;;23,712.0100
;;Удмуртская Республика;3,667;5,102;8,08;12,259.8500
;;Ульяновская область;3,603;5,718;7,773;10,115.0600
;;Уральский федеральный округ;6,057;8,871;12,491;15,843.0700
